"Season","Name","Team","DRS","UZR","playerid"
"2008","Jimmy Rollins","PHI","18","12.9","971"
"2003","Jimmy Rollins","PHI","11","7.4","971"
"2010","Jimmy Rollins","PHI","3","6.9","971"
"2004","Jimmy Rollins","PHI","9","6.8","971"
"2009","Derek Jeter","NYY","3","6.4","826"
"2006","Jimmy Rollins","PHI","12","5.0","971"
"2009","Jimmy Rollins","PHI","-2","4.6","971"
"2012","Jimmy Rollins","PHI","-8","4.4","971"
"2011","Jimmy Rollins","PHI","-7","2.9","971"
"2007","Jimmy Rollins","PHI","5","2.7","971"
"2005","Jimmy Rollins","PHI","18","0.6","971"
"2008","Derek Jeter","NYY","-10","-0.3","826"
"2004","Derek Jeter","NYY","-13","-0.7","826"
"2003","Derek Jeter","NYY","-13","-4.0","826"
"2010","Derek Jeter","NYY","-9","-4.7","826"
"2011","Derek Jeter","NYY","-15","-6.5","826"
"2006","Derek Jeter","NYY","-16","-7.3","826"
"2005","Derek Jeter","NYY","-27","-14.9","826"
"2012","Derek Jeter","NYY","-18","-15.2","826"
"2007","Derek Jeter","NYY","-24","-17.9","826"
